,股號,股名,產業別
645,4108,懷特,生技醫療業
646,4119,旭富,生技醫療業
647,4133,亞諾法,生技醫療業
648,4137,麗豐-KY,生技醫療業
649,4142,國光生,生技醫療業
650,4148,全宇生技-KY,生技醫療業
651,4155,訊映,生技醫療業
652,4164,承業醫,生技醫療業
653,4190,佐登-KY,生技醫療業
654,4306,炎洲,塑膠工業
655,4414,如興,紡織纖維
656,4426,利勤,紡織纖維
657,4438,廣越,紡織纖維
658,4439,冠星-KY,紡織纖維
659,4440,宜新實業,紡織纖維
660,4526,東台,電機機械
661,4532,瑞智,電機機械
662,4536,拓凱,運動休閒
663,4540,全球傳動,電機機械
664,4545,銘鈺,電子零組件業
665,4551,智伸科,汽車工業
666,4552,力達-KY,電機機械
667,4555,氣立,電機機械
668,4557,永新-KY,汽車工業
669,4560,強信-KY,電機機械
670,4562,穎漢,電機機械
671,4564,元翎,電機機械
672,4566,時碩工業,電機機械
673,4569,六方科-KY,汽車工業
674,4571,鈞興-KY,電機機械
675,4572,駐龍,電機機械
676,4576,大銀微系統,電機機械
677,4581,光隆精密-KY,汽車工業
678,4583,台灣精銳,電機機械
679,4720,德淵,化學工業
680,4722,國精化,化學工業
681,4737,華廣,生技醫療業
682,4739,康普,化學工業
683,4746,台耀,生技醫療業
684,4755,三福化,化學工業
685,4763,材料-KY,化學工業
686,4764,雙鍵,化學工業
687,4766,南寶,化學工業
688,4770,上品,化學工業
689,4807,日成-KY,貿易百貨業
690,4904,遠傳,通信網路業
691,4906,正文,通信網路業
692,4912,聯德控股-KY,電子零組件業
693,4915,致伸,電子零組件業
694,4916,事欣科,電腦及週邊設備業
695,4919,新唐,半導體業
696,4927,泰鼎-KY,電子零組件業
697,4930,燦星網,電器電纜
698,4934,太極,光電業
699,4935,茂林-KY,光電業
700,4938,和碩,電腦及週邊設備業
701,4942,嘉彰,光電業
702,4943,康控-KY,電子零組件業
703,4952,凌通,半導體業
704,4956,光鋐,光電業
705,4958,臻鼎-KY,電子零組件業
706,4960,誠美材,光電業
707,4961,天鈺,半導體業
708,4967,十銓,半導體業
709,4968,立積,半導體業
710,4976,佳凌,光電業
711,4977,眾達-KY,通信網路業
712,4989,榮科,電子零組件業
713,4994,傳奇,資訊服務業
714,4999,鑫禾,電子零組件業
